City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yokadouma,3.5167,15.05,78.51,72,42,4.7,CM,1634976840
minsk,53.9,27.5667,40.75,66,100,17.58,BY,1634976580
zhezkazgan,47.8043,67.7144,53.22,36,13,22.3,KZ,1634976841
pouembout,-21.1333,164.9,72.43,88,10,7.18,NC,1634976843
swan hill,-35.3378,143.5544,67.75,29,12,17.36,AU,1634976844
gull lake,50.1001,-108.4847,41.85,57,100,21.74,CA,1634976844
teguise,29.0605,-13.564,66.42,60,75,14.97,ES,1634976845
xining,36.6167,101.7667,56.34,38,2,3.13,CN,1634976846
cayenne,4.9333,-52.3333,76.08,91,90,0,GF,1634976847
nantucket,41.2835,-70.0995,58.96,82,100,10.29,US,1634976848
nampula,-15.1165,39.2666,92.07,24,6,6.2,MZ,1634976849
hualmay,-11.0964,-77.6139,61.03,88,47,7.96,PE,1634976850
kalach-na-donu,48.691,43.5264,58.32,64,100,10.63,RU,1634976851
vitim,59.4511,112.5578,42.6,71,100,10.11,RU,1634976732
sisimiut,66.9395,-53.6735,20.98,77,87,12.17,GL,1634976852
pisco,-13.7,-76.2167,59.02,82,18,6.91,PE,1634976853
ustka,54.5805,16.8619,49.39,70,97,21.39,PL,1634976854
salamanca,40.8333,-6,46.62,75,0,5.46,ES,1634976855
northam,51.0333,-4.2167,54.09,75,98,11.99,GB,1634976855
otautau,-46.15,168,51.39,81,99,2.77,NZ,1634976857
nacogdoches,31.6002,-94.6335,67.71,97,20,0,US,1634976858
liwale,-9.7667,37.9333,88.41,39,4,6.02,TZ,1634976858
barra do bugres,-15.0725,-57.1811,73.2,95,99,3.78,BR,1634976859
tumaco,1.7986,-78.8156,75.16,89,100,8.61,CO,1634976860
tyret pervaya,53.6703,102.3106,40.93,84,100,8.93,RU,1634976861
laguna,38.421,-121.4238,59.47,85,90,1.01,US,1634976862
dryden,49.7833,-92.7503,32.94,86,93,5.03,CA,1634976862
kenai,60.5544,-151.2583,43.14,81,90,9.22,US,1634976863
camacha,33.0833,-16.3333,65.53,77,40,10.36,PT,1634976864
san jeronimo,-11.9472,-75.2829,50.72,73,71,1.74,PE,1634976865
urk,52.6625,5.6014,51.94,80,11,8.34,NL,1634976866
rosarito,32.3333,-117.0333,62.11,82,100,7.45,MX,1634976867
coihaique,-45.5752,-72.0662,42.75,65,40,3.44,CL,1634976868
riohacha,11.5444,-72.9072,76.78,90,25,8.37,CO,1634976869
korla,41.7597,86.1469,62.87,19,100,12.71,CN,1634976870
houma,29.5958,-90.7195,73.4,94,41,0.47,US,1634976615
mandalgovi,45.7625,106.2708,47.59,25,0,10.56,MN,1634976871
loiza,18.4313,-65.8802,81.05,75,20,9.22,PR,1634976872
tatarsk,55.219,75.9828,46.54,67,100,20.69,RU,1634976873
mana,5.6592,-53.7767,77.9,89,99,7.96,GF,1634976873
ahipara,-35.1667,173.1667,61.88,96,100,15.5,NZ,1634976874
kisangani,0.5167,25.2,86.74,54,52,1.86,CD,1634976875
bac lieu,9.285,105.7244,85.89,66,66,8.66,VN,1634976876
biak,-0.9131,122.8766,83.23,67,95,5.3,ID,1634976877
manta,-0.95,-80.7333,73.18,83,75,10.36,EC,1634976877
alekseyevsk,57.8406,108.3492,42.55,69,97,7.56,RU,1634976878
birao,10.2849,22.7882,84.74,56,85,1.45,CF,1634976879
luganville,-15.5333,167.1667,79.95,84,49,5.08,VU,1634976880
saint-pierre,-21.3393,55.4781,86.58,71,20,8.05,RE,1634976881
arlit,18.7369,7.3853,92.12,12,7,11.56,NE,1634976867
poso,-1.3959,120.7524,85.46,68,51,4.25,ID,1634976883
holland,42.7875,-86.1089,45.41,75,90,0,US,1634976884
shirokiy,49.758,129.523,45.73,61,0,6.51,RU,1634976885
dukat,62.55,155.55,0.27,92,100,0.69,RU,1634976886
spentrup,56.537,10.0379,45.45,70,23,9.89,DK,1634976886
porto velho,-8.7619,-63.9039,73.45,94,0,2.3,BR,1634976887
kavaratti,10.5669,72.642,82.24,75,93,3.24,IN,1634976888
san jose,37.3394,-121.895,58.96,83,90,0,US,1634976889
stykkisholmur,65.0757,-22.7297,42.85,95,100,10.38,IS,1634976890
nishihara,26.1842,127.7558,74.48,57,75,10.36,JP,1634976890
balikpapan,-1.2675,116.8289,85.19,79,20,3.44,ID,1634976891
urengoy,65.9667,78.3667,31.44,92,93,12.19,RU,1634976892
lichinga,-13.3128,35.2406,78.89,47,20,13.8,MZ,1634976893
wewak,-3.5534,143.6268,82.2,76,100,7.11,PG,1634976894
namatanai,-3.6667,152.4333,81.73,77,32,11.21,PG,1634976895
lindi,-10,39.7167,88.88,45,6,8.84,TZ,1634976897
fortuna foothills,32.6578,-114.4119,68.09,40,1,5.75,US,1634976897
oranjestad,12.524,-70.027,82.51,79,7,23.51,AW,1634976688
nizhniy baskunchak,48.2198,46.8311,62.83,54,26,11.68,RU,1634976900
dingle,10.9995,122.6711,78.08,90,100,7.29,PH,1634976901
inirida,3.8653,-67.9239,72.72,97,75,2.75,CO,1634976902
krasnyy chikoy,50.3643,108.7512,48.63,40,0,0.67,RU,1634976732
seybaplaya,19.65,-90.6667,74.89,92,100,7.14,MX,1634976904
bowen,-20.0167,148.2333,78.93,74,17,11.12,AU,1634976905
bara,10.3744,10.7288,78.31,79,100,8.59,NG,1634976906
kalga,50.9251,118.898,38.21,78,0,3.44,RU,1634976736
tshikapa,-6.4167,20.8,84.69,63,8,0.94,CD,1634976907
hoquiam,46.9809,-123.8893,53.58,63,90,13.8,US,1634976908
faanui,-16.4833,-151.75,78.91,74,100,13.42,PF,1634976909
rincon,32.296,-81.2354,68.86,96,1,0,US,1634976910
coruripe,-10.1256,-36.1756,74.62,92,22,8.32,BR,1634976663
gaoual,11.75,-13.2,75.2,89,100,2.55,GN,1634976911
castelo do piaui,-5.3222,-41.5525,73.47,88,5,1.95,BR,1634976912
sinnamary,5.3833,-52.95,77.83,87,100,6.53,GF,1634976913
paamiut,61.994,-49.6678,32.63,50,0,27.07,GL,1634976914
nanzhou,29.3596,112.4024,66.72,42,1,9.4,CN,1634976915
marawi,7.9986,124.2928,74.64,93,100,3.87,PH,1634976916
berlevag,70.8578,29.0864,34.3,68,100,15.3,NO,1634976917
raymondville,26.4815,-97.7831,75.29,82,98,8.1,US,1634976917
pangkalanbuun,-2.6833,111.6167,82.67,77,70,2.68,ID,1634976918
merauke,-8.4667,140.3333,83.3,70,100,16.87,ID,1634976919
yumen,40.2833,97.2,58.1,23,2,21,CN,1634976920
palocabildo,5.1171,-75.0173,60.82,97,100,3.44,CO,1634976921
roma,43.2128,-75.4557,41.4,95,75,0,US,1634976921
poum,-20.2333,164.0167,75.13,81,3,21.03,NC,1634976922
vanderhoof,54.0166,-124.0198,40.1,86,92,3.44,CA,1634976913
solano,38.2333,-121.9511,59.32,82,1,11.5,US,1634976924
santa isabel do rio negro,-0.4139,-65.0192,72.95,91,45,1.16,BR,1634976925
soyo,-6.1349,12.3689,81.21,70,88,3.87,AO,1634976925
luxor,25.6989,32.6421,79.92,32,0,10.63,EG,1634976879
risor,58.7206,9.2342,44.17,56,7,5.3,NO,1634976927
ialibu,-6.2821,143.9935,59.31,98,100,1.39,PG,1634976928
neuquen,-38.9516,-68.0591,51.69,46,0,11.5,AR,1634976634
revda,56.801,59.9303,52.61,63,17,18.14,RU,1634976929
portlethen,57.0547,-2.1307,45.48,95,100,3,GB,1634976930
pirai do sul,-24.5261,-49.9486,52.45,76,0,2.62,BR,1634976931
grindavik,63.8424,-22.4338,45.07,93,90,11.5,IS,1634976932
zhashkiv,49.2454,30.1102,53.46,46,81,15.26,UA,1634976932
alta floresta,-9.8756,-56.0861,70.39,98,100,2.35,BR,1634976933
fare,-16.7,-151.0167,77.23,80,100,8.84,PF,1634976934
buta,2.7858,24.73,87.28,53,41,1.95,CD,1634976935
mount isa,-20.7333,139.5,92.97,26,100,11.5,AU,1634976936
mansa,29.9833,75.3833,89.46,28,0,14.58,IN,1634976936
kuytun,54.3419,101.5036,39.96,74,100,7.11,RU,1634976937
la cruz,23.9167,-106.9,75.33,90,0,3.15,MX,1634976926
itarema,-2.9248,-39.9167,80.15,77,100,9.33,BR,1634976939
pombas,17.1503,-25.0201,74.98,78,5,11.41,CV,1634976940
el reno,35.5323,-97.955,68.67,85,1,0,US,1634976941
muros,42.7762,-9.0603,55.24,73,100,3.15,ES,1634976942
ola,59.5833,151.2833,24.85,74,100,17.38,RU,1634976942
ruwi,23.5996,58.5507,87.49,46,0,7.2,OM,1634976944
la rioja,42.25,-2.5,41.49,54,0,3.02,ES,1634976945
sao miguel do araguaia,-13.275,-50.1628,73.09,85,99,4.81,BR,1634976946
gaya,24.7833,85,87.71,48,20,6.91,IN,1634976890
bengkulu,-3.8004,102.2655,82.56,74,99,4.16,ID,1634976947
douentza,14.9951,-2.9517,87.8,24,6,3.38,ML,1634976948
blackwater,-23.5833,148.8833,80.28,49,78,7.49,AU,1634976949
hatillo,18.4863,-66.8254,79.09,82,6,10,PR,1634976950
virginia beach,36.8529,-75.978,62.02,91,75,0,US,1634976950
bethel,41.3712,-73.414,55.04,73,1,0,US,1634976718
khonsa,27.0167,95.5667,74.07,68,21,4.18,IN,1634976952
alegrete,-29.7831,-55.7919,60.08,86,100,9.19,BR,1634976953
komsomolskiy,40.4272,71.7189,56.62,33,0,6.91,UZ,1634976954
ouadda,8.0777,22.4007,82.29,63,41,3.91,CF,1634976954
asau,46.4333,26.4,62.96,42,49,8.12,RO,1634976955
vestmannaeyjar,63.4427,-20.2734,46.9,87,100,1.92,IS,1634976956
kilindoni,-7.9139,39.6668,80.11,69,45,5.21,TZ,1634976957
kloulklubed,7.0419,134.2556,85.03,67,100,5.93,PW,1634976959
sambava,-14.2667,50.1667,81.55,72,43,8.88,MG,1634976960
zhigansk,66.7697,123.3711,10.53,97,61,6.82,RU,1634976732
gao,16.6362,1.637,91.6,20,84,2.48,ML,1634976963
dumas,35.8656,-101.9732,65.62,71,1,10.36,US,1634976963
zhigalovo,54.8097,105.1578,47.1,51,55,7.02,RU,1634976964
mercedes,-34.6515,-59.4307,56.86,98,100,5.12,AR,1634976965
avera,33.194,-82.5271,58.87,84,0,6.73,US,1634976966
petropavlovsk-kamchatskiy,53.0452,158.6483,34.39,93,75,4.47,RU,1634976967
lata,40.1629,-8.3327,55.81,67,25,3.56,PT,1634976968
mbamba,9.9833,13.1,81.41,69,67,2.51,NG,1634976968
iraucuba,-3.7461,-39.7833,77.9,77,98,3.69,BR,1634976969
kanniyakumari,8.0833,77.5667,83.01,74,47,11.1,IN,1634976970
iberia,29.9502,-91.7507,72.1,100,20,3.44,US,1634976971
flin flon,54.7682,-101.865,33.76,79,100,6.02,CA,1634976913
sterling,39.0062,-77.4286,58.77,88,90,3,US,1634976712
sangin,32.0728,64.8359,66.31,16,0,5.73,AF,1634976974
kologriv,58.8275,44.3178,41.14,77,96,12.1,RU,1634976974
fortuna,40.5982,-124.1573,55.74,72,75,1.99,US,1634976770
mao,39.8885,4.2658,61.36,55,0,13.8,ES,1634976976
chiredzi,-21.05,31.6667,99.5,19,5,3.8,ZW,1634976977
tete,-16.1564,33.5867,93.29,31,0,6.91,MZ,1634976978
port pirie,-33.1833,138.0167,62.69,56,0,17.43,AU,1634976979
bernay,49.1667,0.6667,52.84,84,67,1.99,FR,1634976980
wajima,37.4,136.9,54.28,62,75,2.3,JP,1634976981
tamboril,19.4854,-70.611,74.43,100,75,0,DO,1634976981
gat,31.61,34.7642,76.91,31,12,9.69,IL,1634976982
zapolyarnyy,69.4154,30.8136,24.08,88,93,6.44,RU,1634976983
itoman,26.1247,127.6694,75.22,55,75,14.97,JP,1634976985
neftcala,39.3742,49.2472,65.35,60,0,3.27,AZ,1634976985
